word_count,word
335,start
277,power
258,obviously
83,damage
41,body
27,away
259,old
9,age
275,possible
324,simply
289,reason
34,believe
76,couldn
347,survive
199,kind
279,powers
247,movie
223,lost
369,turned
138,form
365,true
116,eventually
191,isn
379,using
360,time
167,happened
309,second
310,seeing
254,new
69,comic
278,powerful
363,travel
385,wants
109,end
154,goes
180,home
100,doesn
245,money
319,short
62,child
123,face
20,ask
283,random
86,dc
31,batman
269,plan
56,case
80,creating
340,strong
183,human
19,aside
67,come
68,comes
234,marvel
6,actually
55,care
184,humanity
357,thinking
390,water
119,example
359,thought
286,real
304,scenario
236,maybe
401,wouldn
383,want
265,people
201,knowledge
288,really
252,need
243,mind
134,final
305,scene
163,half
139,free
187,including
400,world
66,clearly
214,little
38,bit
3,able
218,long
112,episode
39,black
107,effect
263,outside
189,inside
96,different
185,humans
148,getting
229,major
24,avengers
398,work
238,mean
374,universe
230,make
248,movies
60,character
213,likely
173,heard
114,event
375,universes
61,characters
292,remember
120,exist
311,seen
290,red
203,knows
222,lore
333,spider
233,man
30,basically
210,level
225,love
157,got
194,kid
285,reading
70,comics
26,aware
342,super
344,supposed
354,technology
186,idea
315,series
298,said
45,break
397,wondering
124,fact
368,turn
235,matter
334,star
364,trek
104,earth
85,day
391,way
93,didn
171,having
228,main
193,joker
343,superman
133,film
64,city
294,right
43,born
291,regular
11,alien
281,probably
266,person
141,friends
125,family
129,feel
29,based
48,bruce
51,called
332,specifically
211,life
264,parents
35,best
276,possibly
386,war
81,crime
13,allowed
382,villains
387,wars
212,light
178,high
40,blood
257,normal
161,guy
91,destroy
280,pretty
355,thing
99,doctor
130,fight
7,advanced
53,capable
101,doing
50,bunch
356,things
251,mutants
250,mutant
395,wizard
156,good
396,wonder
316,set
21,assume
200,knew
318,ships
317,ship
314,sense
172,head
271,planets
113,especially
140,friend
301,saw
155,going
273,point
158,government
337,stop
198,killing
240,members
331,species
302,say
215,live
65,clear
232,making
197,killed
144,game
322,shows
15,animals
131,fighting
208,left
393,went
92,destroyed
345,sure
260,ones
182,hulk
313,send
362,times
135,flying
320,shouldn
102,dr
166,happen
17,apparently
63,children
89,death
136,food
381,vader
46,bring
2,ability
105,eat
137,force
284,read
115,events
255,night
84,dark
192,jedi
404,years
108,empire
346,surely
300,save
376,use
209,let
122,extra
16,answer
94,die
350,taking
268,place
110,energy
1,abilities
323,similar
160,guess
23,attack
392,weapons
32,battle
226,magic
244,modern
399,working
204,large
149,given
147,gets
242,military
49,build
128,father
205,later
75,cool
371,type
28,bad
22,assuming
341,stuff
352,tech
287,reality
126,far
326,size
308,season
57,cause
37,big
79,created
377,used
150,gives
44,brain
42,book
52,came
143,future
303,says
297,rules
256,non
227,magical
307,science
190,instead
78,create
367,trying
59,change
10,air
117,evil
246,monsters
36,better
338,story
224,lot
188,infinity
18,aren
239,means
169,hard
378,uses
270,planet
216,lives
72,considered
261,order
330,special
295,ring
272,plus
306,school
327,small
111,entire
403,year
380,usually
349,takes
372,understand
328,society
25,average
164,hand
231,makes
5,actual
384,wanted
219,look
373,understanding
196,kill
145,games
195,kids
175,help
165,hands
299,santa
87,dead
159,great
106,edit
153,godzilla
253,needs
361,timeline
237,mcu
177,heroes
146,general
118,exactly
47,brought
4,act
95,died
296,rule
389,watching
321,shown
220,looking
168,happens
202,known
0,10
217,living
121,experience
174,hell
366,try
206,learn
152,god
103,early
241,men
33,beings
388,wasn
181,house
207,learned
8,affect
82,curious
77,crazy
176,hero
221,looks
12,alive
249,multiple
98,dna
73,contact
71,completely
88,deal
348,taken
74,control
358,thor
312,self
90,despite
179,hit
54,captain
14,america
336,started
351,talking
282,process
329,sort
394,white
325,single
58,certain
142,fully
274,police
170,harry
267,pick
97,directly
339,strange
262,original
370,turns
127,fast
151,giving
132,figure
293,rest
402,wrong
162,guys
353,technically
